page_slug,title,url,status,word_count,headings_count,table_specs_count
home,Home - OFS,https://ofsgroupindia.com/,APPROVED_MAIN_SITE,508,23,0
company-profile,Company Profile - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/company-profile/,APPROVED_MAIN_SITE,408,6,0
mission-vision,Mission &amp; Vision - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/mission-vision/,APPROVED_MAIN_SITE,89,2,0
contact-us,Contact Us - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/contact-us/,APPROVED_MAIN_SITE,82,5,0
procurement-shipping,Procurement &amp; Shipping - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/procurement-shipping/,APPROVED_MAIN_SITE,593,6,0
engineering-epc,Engineering &amp; EPC Support Services - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/engineering-epc-support-services/,APPROVED_MAIN_SITE,132,7,0
logistics-shipping,Logistics &amp; Shipping - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/logistics-shipping/,APPROVED_MAIN_SITE,743,9,0
spare-parts-procurement,Spare Parts Procurement - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/spare-parts-procurement/,APPROVED_MAIN_SITE,693,9,0
global-mro,Global MRO Procurement Excellence - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/global-mro-procurement-excellence/,APPROVED_MAIN_SITE,180,9,0
oil-gas,Oil &amp; Gas - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/oil-gas/,APPROVED_MAIN_SITE,361,4,0
marine,Marine - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/marine/,APPROVED_MAIN_SITE,255,2,0
renewable-energy,Renewable Energy - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/renewable-energy/,RENEWABLES_SUBDOMAIN,347,7,0
power-energy,Power Energy - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/power-energy/,APPROVED_MAIN_SITE,206,2,0
petroleum-refining,Petroleum Refining - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/petroleum-refining/,APPROVED_MAIN_SITE,246,2,0
cement,Cement - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/cement/,APPROVED_MAIN_SITE,172,2,0
mining-minerals,Mining Minerals - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/mining-minerals/,APPROVED_MAIN_SITE,264,2,0
heavy-engineering,Heavy Engineering - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/heavy-engineering/,APPROVED_MAIN_SITE,251,2,0
process-equipment,Process Equipment - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/process-equipment/,APPROVED_MAIN_SITE,707,11,0
outsource-manufacturing,Outsource Manufacturing - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/outsource-manufacturing/,APPROVED_MAIN_SITE,741,26,0
instrumentation,Instrumentation - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/instrumentation/,APPROVED_MAIN_SITE,397,5,0
general-manufacturing,General Manufacturing - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/general-manufacturing/,APPROVED_MAIN_SITE,239,2,0
outsource-procurement,Outsource Procurement - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/outsource-procurement/,APPROVED_MAIN_SITE,1176,5,0
warehouse-2,Warehouse - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/warehouse-2/,APPROVED_MAIN_SITE,799,6,0
supply-chain-financing,Supply Chain Financing - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/supply-chain-financing/,APPROVED_MAIN_SITE,1345,11,0
2906,2906,https://ofsgroupindia.com/wp-json/wp/v2/pages/2906/,APPROVED_MAIN_SITE,0,0,0
indirect-procurement,Indirect Procurement - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/indirect-procurement/,APPROVED_MAIN_SITE,1140,6,0
pumps,Pumps &amp; Spare Parts - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/pumps/,APPROVED_MAIN_SITE,648,12,0
spare-parts-availability,Spare Parts Availability - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/spare-parts-availability/,APPROVED_MAIN_SITE,1221,6,0
hvac-refrigeration,HVAC &amp; Refrigeration - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/hvac-refrigeration/,APPROVED_MAIN_SITE,652,8,0
inventory-planning-optimisation,Inventory Planning &amp; Optimisation - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/inventory-planning-optimisation/,APPROVED_MAIN_SITE,670,6,0
project-supply,Project Supply - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/project-supply/,APPROVED_MAIN_SITE,387,3,0
2952,2952,https://ofsgroupindia.com/wp-json/wp/v2/pages/2952/,APPROVED_MAIN_SITE,0,0,0
3035,3035,https://ofsgroupindia.com/wp-json/wp/v2/pages/3035/,APPROVED_MAIN_SITE,0,0,0
2964,2964,https://ofsgroupindia.com/wp-json/wp/v2/pages/2964/,APPROVED_MAIN_SITE,0,0,0
heavy-machinery-equipments,Heavy Machinery Equipments - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/heavy-machinery-equipments/,APPROVED_MAIN_SITE,857,11,0
natural-gas-distribution,Natural Gas Distribution - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/natural-gas-distribution/,APPROVED_MAIN_SITE,521,12,0
rotary-equipment,Rotary Equipment - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/rotary-equipment/,APPROVED_MAIN_SITE,575,10,0
3055,3055,https://ofsgroupindia.com/wp-json/wp/v2/pages/3055/,APPROVED_MAIN_SITE,0,0,0
transportation,Transportation - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/transportation/,APPROVED_MAIN_SITE,220,2,0
291,291,https://ofsgroupindia.com/wp-json/wp/v2/pages/291/,APPROVED_MAIN_SITE,0,0,0
2970,2970,https://ofsgroupindia.com/wp-json/wp/v2/pages/2970/,APPROVED_MAIN_SITE,0,0,0
3025,3025,https://ofsgroupindia.com/wp-json/wp/v2/pages/3025/,APPROVED_MAIN_SITE,0,0,0
2910,2910,https://ofsgroupindia.com/wp-json/wp/v2/pages/2910/,APPROVED_MAIN_SITE,0,0,0
strategic-sourcing-mro-data-enrichment,Strategic Sourcing &amp; MRO Data Enrichment - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/strategic-sourcing-mro-data-enrichment/,APPROVED_MAIN_SITE,1001,6,0
2905,2905,https://ofsgroupindia.com/wp-json/wp/v2/pages/2905/,APPROVED_MAIN_SITE,0,0,0
warehouse,Warehouse,https://ofsgroupindia.com/warehouse/,APPROVED_MAIN_SITE,0,0,0
supply-chain-management,Supply Chain Management. - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/supply-chain-management/,APPROVED_MAIN_SITE,1345,44,0
3002,3002,https://ofsgroupindia.com/wp-json/wp/v2/pages/3002/,APPROVED_MAIN_SITE,0,0,0
plant-maintenance-mro-spare-parts-management,Plant Maintenance &amp; MRO Spare Parts Management - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/plant-maintenance-mro-spare-parts-management/,APPROVED_MAIN_SITE,1262,6,0
electrical-electronics,Electrical &amp; Electronics - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/electrical-electronics/,APPROVED_MAIN_SITE,365,3,0
safety-tools-equipments,Safety Tools &amp; Equipments - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/safety-tools-equipments/,APPROVED_MAIN_SITE,505,8,0
master-data-management,Master Data Management - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/master-data-management/,APPROVED_MAIN_SITE,1001,6,0
mro-tools,MRO Tools - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/mro-tools/,APPROVED_MAIN_SITE,623,9,0
global-mro-procurement-excellence,Global MRO Procurement Excellence - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/global-mro-procurement-excellence/,APPROVED_MAIN_SITE,956,6,0
2990,2990,https://ofsgroupindia.com/wp-json/wp/v2/pages/2990/,APPROVED_MAIN_SITE,0,0,0
3029,3029,https://ofsgroupindia.com/wp-json/wp/v2/pages/3029/,APPROVED_MAIN_SITE,0,0,0
19,19,https://ofsgroupindia.com/wp-json/wp/v2/pages/19/,APPROVED_MAIN_SITE,0,0,0
2901,2901,https://ofsgroupindia.com/wp-json/wp/v2/pages/2901/,APPROVED_MAIN_SITE,0,0,0
2992,2992,https://ofsgroupindia.com/wp-json/wp/v2/pages/2992/,APPROVED_MAIN_SITE,0,0,0
3010,3010,https://ofsgroupindia.com/wp-json/wp/v2/pages/3010/,APPROVED_MAIN_SITE,0,0,0
3030,3030,https://ofsgroupindia.com/wp-json/wp/v2/pages/3030/,APPROVED_MAIN_SITE,0,0,0
ofsgroupindia.com,Home - OFS,https://ofsgroupindia.com/,APPROVED_MAIN_SITE,666,23,0
biotechnology,Biotechnology - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/biotechnology/,APPROVED_MAIN_SITE,147,2,0
2953,2953,https://ofsgroupindia.com/wp-json/wp/v2/pages/2953/,APPROVED_MAIN_SITE,0,0,0
2956,2956,https://ofsgroupindia.com/wp-json/wp/v2/pages/2956/,APPROVED_MAIN_SITE,0,0,0
industrial-valves,Industrial Valves - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/industrial-valves/,APPROVED_MAIN_SITE,1487,18,0
procurement-services,Procurement Services - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/procurement-services/,APPROVED_MAIN_SITE,391,8,0
2914,2914,https://ofsgroupindia.com/wp-json/wp/v2/pages/2914/,APPROVED_MAIN_SITE,0,0,0
quality-control,Quality Control - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/quality-control/,APPROVED_MAIN_SITE,533,17,0
drilling-equipment,Drilling Equipment - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/drilling-equipment/,APPROVED_MAIN_SITE,792,11,0
engineering-epc-support-services,Engineering &amp; EPC Support Services - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/engineering-epc-support-services/,APPROVED_MAIN_SITE,357,5,0
3004,3004,https://ofsgroupindia.com/wp-json/wp/v2/pages/3004/,APPROVED_MAIN_SITE,0,0,0
pumps-spare-parts,Pumps &amp; Spare Parts - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/pumps-spare-parts/,APPROVED_MAIN_SITE,648,12,0
maintenance-repair-tools,"Maintenance, Repair Tools - Oriented Facility Solution Pvt Ltd",https://ofsgroupindia.com/maintenance-repair-tools/,APPROVED_MAIN_SITE,453,6,0
289,289,https://ofsgroupindia.com/wp-json/wp/v2/pages/289/,APPROVED_MAIN_SITE,0,0,0
2998,2998,https://ofsgroupindia.com/wp-json/wp/v2/pages/2998/,APPROVED_MAIN_SITE,0,0,0
2922,2922,https://ofsgroupindia.com/wp-json/wp/v2/pages/2922/,APPROVED_MAIN_SITE,0,0,0
2960,2960,https://ofsgroupindia.com/wp-json/wp/v2/pages/2960/,APPROVED_MAIN_SITE,0,0,0
2957,2957,https://ofsgroupindia.com/wp-json/wp/v2/pages/2957/,APPROVED_MAIN_SITE,0,0,0
electrical-power-equipments,Electrical &amp; Power Equipments - Oriented Facility Solution Pvt Ltd,https://ofsgroupindia.com/electrical-power-equipments/,APPROVED_MAIN_SITE,1262,18,0
3050,3050,https://ofsgroupindia.com/wp-json/wp/v2/pages/3050/,APPROVED_MAIN_SITE,0,0,0
2945,2945,https://ofsgroupindia.com/wp-json/wp/v2/pages/2945/,APPROVED_MAIN_SITE,0,0,0
